year,statefips,DS_PM_pred
2019,22,8.681693870270317
2019,23,5.421190581478362
2019,24,7.903301888874569
2019,25,6.592424696714111
2019,26,8.629849765108325
2019,27,6.782731723797662
2019,28,9.0438439957762
2019,29,8.030621095272782
2019,30,5.062032329755116
2019,31,6.622172686081092
2019,32,5.726810143345918
2019,33,5.198741920376508
2019,34,8.075563635534147
2019,35,5.150886437292868
2019,36,7.732716643494035
2019,37,7.8600725547943195
2019,38,5.269302937915743
2019,39,9.186054204660413
2019,40,8.998908366864796
2019,41,8.183603061537903
2019,42,8.715022084908354
2019,44,5.943195424014393
2019,45,8.091983832398503
2019,46,4.846482612065061
2019,47,7.979672979300253
2019,48,9.079857638943686
2019,49,6.089359336313645
2019,50,5.695501526086785
2019,51,7.515788353046328
2019,53,7.015752604829742
2019,54,7.409319769228257
2019,55,7.900981431342078
2019,56,3.5021039711637285
2020,1,8.733168541203261
2020,4,7.423733629210619
2020,5,8.266159484962346
2020,6,12.256169976551565
2020,8,7.5677921064043785
2020,9,7.63045280494982
2020,10,7.147736243153037
2020,11,6.92784236584161
2020,12,7.991252408839259
2020,13,8.820415593342062
2020,16,8.636007222829361
2020,17,8.976703509742745
2020,18,8.733089059429686
2020,19,7.672100581446717
2020,20,8.024767895667871
2020,21,8.181474974676219
2020,22,8.339180396409931
2020,23,5.350534809930581
2020,24,6.719639059696297
2020,25,6.546169232437798
2020,26,7.871693460201346
2020,27,6.580041534146817
2020,28,8.862561376116547
2020,29,8.037398673200409
2020,30,6.135787621472965
2020,31,6.971119763323205
2020,32,8.07097830195067
2020,33,5.447183682451553
2020,34,7.6607331033184485
2020,35,6.124520261837862
2020,36,7.467759142664096
2020,37,7.0479101662771715
2020,38,5.612872316771686
2020,39,8.21774717663456
2020,40,9.149260797555302
2020,41,13.034829477248923
2020,42,8.198555725221654
2020,44,6.371131980979442
2020,45,7.72594500488957
2020,46,5.563397587540379
2020,47,7.592737807371528
2020,48,8.925826955658952
2020,49,7.542708527349965
2020,50,5.8509280160751445
2020,51,6.88795688270247
2020,53,9.650289058625866
2020,54,6.8965261814063945
2020,55,7.84536120662596
2020,56,4.675625783794788
